no	Lat	Long	Species	Sampling_date	Confirming_date	Subtype	Patho_type	Report_type	Info9	Info10	location3
614a	22.75788889	120.57941667	肉鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	614	626	Pingtung County
615a	23.36235	120.462	肉鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	615	625	Tainan City
616a	23.3651	120.45371	肉鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	616	624	Tainan City
617a	23.430056	120.20948	肉鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	617	623	Chiayi County
618a	23.557369	120.230078	肉鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	618	622	Yunlin County
619a	23.58608	120.192469	肉鵝	2015-01-30	2015-02-02	H5N3	HPAI	業者主動通報	619	621	Yunlin County
620a	23.63244	120.32169	肉鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	620	620	Yunlin County
621a	23.65083	120.31756	肉鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	621	619	Yunlin County
622a	23.67639	120.19045	肉鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	622	618	Yunlin County
623a	23.677161	120.19052	肉鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	623	617	Yunlin County
624a	23.679514	120.273574	肉鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	624	616	Yunlin County
625a	23.683074	120.263209	肉鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	625	615	Yunlin County
626a	23.71051	120.2744	肉鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	626	614	Yunlin County
627a	23.63085	120.31833	種鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	627	613	Yunlin County
628a	23.655652	120.179409	種鵝	2015-01-30	2015-02-02	H5N2	HPAI	業者主動通報	628	612	Yunlin County
629a	23.721304	120.255547	種鵝	2015-01-30	2015-02-02	H5N8	HPAI	業者主動通報	629	611	Yunlin County
630a	22.60991667	120.47638889	土雞	2015-01-30	2015-02-02	H5N3	HPAI	業者主動通報	630	610	Pingtung County
631a	22.866507	120.299437	肉鵝	2015-01-30	2015-02-03	H5N8	HPAI	業者主動通報	631	609	Kaohsiung City
594a	22.558855	120.415444	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	594	608	Kaohsiung City
595a	23.870383	120.414456	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	595	607	Changhua County
596a	23.729939	120.501697	土雞	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	596	606	Yunlin County
597a	23.813794	120.386544	土雞	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	597	605	Yunlin County
598a	22.60446	120.58001	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	598	604	Pingtung County
599a	22.74519	120.5192	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	599	603	Pingtung County
600a	22.93625	120.2438	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	600	602	Tainan City
601a	23.08494	120.32642	肉鵝	2015-01-29	2015-02-01	H5N8	HPAI	業者主動通報	601	601	Tainan City
602a	23.25796	120.25795	肉鵝	2015-01-29	2015-02-01	H5N8	HPAI	業者主動通報	602	600	Tainan City
603a	23.519135	120.308653	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	603	599	Chiayi County
604a	23.614107	120.198898	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	604	598	Yunlin County
605a	23.620228	120.158709	肉鵝	2015-01-29	2015-02-01	H5N2	HPAI	業者主動通報	605	597	Yunlin County
606a	23.19901	120.14141	種鵝	2015-01-29	2015-02-01	H5N8	HPAI	業者主動通報	606	596	Tainan City
607a	23.37233	120.34104	種鵝	2015-01-29	2015-02-01	H5N8	HPAI	業者主動通報	607	595	Tainan City
608a	23.70528	120.3655	種鵝	2015-01-29	2015-02-01	H5N8	HPAI	業者主動通報	608	594	Yunlin County
575a	22.892417	120.264442	肉鵝	2015-01-28	2015-01-31	H5N8	HPAI	業者主動通報	575	593	Kaohsiung City
576a	22.80286	120.55726	土雞	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	576	592	Pingtung County
577a	23.21441	120.19464	土雞	2015-01-28	2015-01-31	H5N8	HPAI	業者主動通報	577	591	Tainan City
578a	23.71218	120.603474	土雞	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	578	590	Yunlin County
579a	22.94502	120.30396	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	579	589	Tainan City
580a	23.21044	120.26931	肉鵝	2015-01-28	2015-01-31	H5N8	HPAI	業者主動通報	580	588	Tainan City
581a	23.632946	120.310724	肉鵝	2015-01-28	2015-01-31	H5N2_H5N8	HPAI	業者主動通報	581	587	Yunlin County
582a	23.634588	120.156917	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	582	586	Yunlin County
583a	23.639199	120.158255	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	583	585	Yunlin County
584a	23.65044	120.26848	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	584	584	Yunlin County
585a	23.66288	120.30441	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	585	583	Yunlin County
586a	23.701306	120.2745	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	586	582	Yunlin County
587a	23.702213	120.246667	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	587	581	Yunlin County
588a	23.718961	120.269182	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	588	580	Yunlin County
589a	23.745063	120.238857	肉鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	589	579	Yunlin County
590a	22.73975	120.47053	種鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	590	578	Pingtung County
591a	23.19264	120.30519	種鵝	2015-01-28	2015-01-31	H5N8	HPAI	業者主動通報	591	577	Tainan City
592a	23.6299	120.31095	種鵝	2015-01-28	2015-01-31	H5N2_H5N8	HPAI	業者主動通報	592	576	Yunlin County
593a	23.63008	120.319093	種鵝	2015-01-28	2015-01-31	H5N2	HPAI	業者主動通報	593	575	Yunlin County
552a	23.20336	120.19328	土雞	2015-01-27	2015-01-30	H5N8	HPAI	業者主動通報	552	574	Tainan City
553a	23.23573	120.36846	火雞	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	553	573	Tainan City
554a	22.84776	120.28032	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	554	572	Kaohsiung City
555a	22.95122	120.26638	肉鵝	2015-01-27	2015-01-30	H5N8	HPAI	業者主動通報	555	571	Tainan City
556a	22.73996	120.59783	土雞	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	556	570	Pingtung County
557a	23.72032	120.23977	土雞	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	557	569	Yunlin County
558a	22.74749	120.4869	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	558	568	Pingtung County
559a	22.74859	120.54337	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	559	567	Pingtung County
560a	23.4316	120.3758	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	560	566	Chiayi County
561a	23.61712	120.23058	肉鵝	2015-01-27	2015-01-30	H5N2_H5N8	HPAI	業者主動通報	561	565	Yunlin County
562a	23.626239	120.322345	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	562	564	Yunlin County
563a	23.62624	120.32163	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	563	563	Yunlin County
564a	23.659613	120.162409	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	564	562	Yunlin County
565a	23.698733	120.33999	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	565	561	Yunlin County
566a	23.709888	120.274331	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	566	560	Yunlin County
567a	23.72656	120.2676	肉鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	567	559	Yunlin County
568a	23.530284	120.471641	種鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	568	558	Chiayi County
569a	23.554483	120.203906	種鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	569	557	Yunlin County
570a	23.65102	120.16156	種鵝	2015-01-27	2015-01-30	H5N2_H5N8	HPAI	業者主動通報	570	556	Yunlin County
571a	23.65721	120.15437	種鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	571	555	Yunlin County
572a	23.658855	120.155331	種鵝	2015-01-27	2015-01-30	H5N2	HPAI	業者主動通報	572	554	Yunlin County
573a	22.93542	120.33919	肉鴨	2015-01-27	2015-02-01	H5Nx	HPAI	業者主動通報	573	553	Tainan City
574a	23.22687	120.22208	蛋鴨	2015-01-27	2015-02-01	H5Nx	HPAI	業者主動通報	574	552	Tainan City
523a	22.85504	120.28633	肉鵝	2015-01-26	2015-01-28	H5N2	HPAI	業者主動通報	523	551	Kaohsiung City
524a	22.85985	120.27393	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	524	550	Kaohsiung City
525a	22.89372	120.29316	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	525	549	Kaohsiung City
526a	23.84149	120.29905	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	526	548	Changhua County
527a	23.8639	120.33889	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	527	547	Changhua County
528a	22.52326	120.43732	土雞	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	528	546	Pingtung County
529a	23.741647	120.242315	土雞	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	529	545	Yunlin County
530a	23.691739	120.235827	火雞	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	530	544	Yunlin County
531a	22.48247	120.5805	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	531	543	Pingtung County
532a	22.73613	120.52616	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	532	542	Pingtung County
533a	23.44063	120.24325	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	533	541	Chiayi County
534a	23.440796	120.256254	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	534	540	Chiayi County
535a	23.624237	120.303783	肉鵝	2015-01-26	2015-01-29	H5N8	HPAI	業者主動通報	535	539	Yunlin County
536a	23.62704	120.16538	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	536	538	Yunlin County
537a	23.63618	120.32085	肉鵝	2015-01-26	2015-01-29	H5N8	HPAI	業者主動通報	537	537	Yunlin County
538a	23.654467	120.303717	肉鵝	2015-01-26	2015-01-29	H5N8	HPAI	業者主動通報	538	536	Yunlin County
539a	23.680428	120.222551	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	539	535	Yunlin County
540a	23.703167	120.262301	肉鵝	2015-01-26	2015-01-29	H5N2_H5N8	HPAI	業者主動通報	540	534	Yunlin County
541a	23.71176	120.27959	肉鵝	2015-01-26	2015-01-29	H5N8	HPAI	業者主動通報	541	533	Yunlin County
542a	23.715553	120.249739	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	542	532	Yunlin County
543a	23.72715	120.27318	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	543	531	Yunlin County
544a	23.737135	120.25096	肉鵝	2015-01-26	2015-01-29	H5N8	HPAI	業者主動通報	544	530	Yunlin County
545a	23.750991	120.274028	肉鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	545	529	Yunlin County
546a	24.33747	120.56751	蛋鴨	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	546	528	Taichung City
547a	23.63121	120.31635	種鵝	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	547	527	Yunlin County
548a	23.86308	120.2992	土雞	2015-01-26	2015-01-29	H5N2	HPAI	業者主動通報	548	526	Changhua County
549a	23.687435	120.238042	火雞	2015-01-26	2015-02-01	H5Nx	HPAI	業者主動通報	549	525	Yunlin County
550a	23.67451	120.18496	肉鵝	2015-01-26	2015-02-01	H5Nx	HPAI	業者主動通報	550	524	Yunlin County
551a	22.6832	120.5513	土雞	2015-01-26	2015-02-02	H5N2	HPAI	業者主動通報	551	523	Pingtung County
493a	23.84423	120.3848	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	493	522	Changhua County
494a	23.96154	120.35514	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	494	521	Changhua County
495a	23.699549	120.260442	土雞	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	495	520	Yunlin County
496a	23.24209	120.34302	火雞	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	496	519	Tainan City
497a	23.85665	120.30736	火雞	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	497	518	Changhua County
498a	23.62772	120.31145	正番鴨	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	498	517	Yunlin County
499a	23.43522	120.2415	肉鴨	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	499	516	Chiayi County
500a	23.635527	120.320813	肉鴨	2015-01-25	2015-01-28	H5N2_H5N8	HPAI	業者主動通報	500	515	Yunlin County
501a	23.21023	120.2058	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	501	514	Tainan City
502a	23.45518	120.241032	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	502	513	Chiayi County
503a	23.638473	120.305752	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	503	512	Yunlin County
504a	23.65147	120.31705	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	504	511	Yunlin County
505a	23.6528	120.22386	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	505	510	Yunlin County
506a	23.66852	120.50011	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	506	509	Yunlin County
507a	23.67599	120.19083	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	507	508	Yunlin County
508a	23.6787	120.192239	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	508	507	Yunlin County
509a	23.70649	120.26834	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	509	506	Yunlin County
510a	23.706739	120.298479	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	510	505	Yunlin County
511a	23.70687	120.27726	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	511	504	Yunlin County
512a	23.71673	120.21092	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	512	503	Yunlin County
513a	23.76097	120.41412	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	513	502	Yunlin County
514a	23.62237	120.22951	種鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	514	501	Yunlin County
515a	23.626092	120.312046	種鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	515	500	Yunlin County
516a	23.667302	120.183269	種鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	516	499	Yunlin County
517a	23.644965	120.302858	肉鵝	2015-01-25	2015-01-28	H5N8	HPAI	業者主動通報	517	498	Yunlin County
518a	22.40032	120.58831	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	518	497	Pingtung County
519a	22.77205	120.55528	肉鵝	2015-01-25	2015-01-28	H5N2	HPAI	業者主動通報	519	496	Pingtung County
520a	23.74682	120.23698	正番鴨	2015-01-25	2015-02-01	H5Nx	HPAI	業者主動通報	520	495	Yunlin County
521a	23.67042	120.18869	肉鵝	2015-01-25	2015-02-01	H5Nx	HPAI	業者主動通報	521	494	Yunlin County
522a	23.787827	120.243619	土雞	2015-01-25	2015-02-02	H5N2	HPAI	業者主動通報	522	493	Yunlin County
472a	23.848069	120.306321	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	472	492	Changhua County
473a	23.85175	120.31241667	肉鵝	2015-01-24	2015-01-27	H5N2_H5N8	HPAI	業者主動通報	473	491	Changhua County
474a	23.2215	120.2006	土番鴨	2015-01-24	2015-01-27	H5N8	HPAI	業者主動通報	474	490	Tainan City
475a	22.81244444	120.47622222	土雞	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	475	489	Pingtung County
476a	23.761503	120.245481	土雞	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	476	488	Yunlin County
477a	22.70879	120.55873	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	477	487	Pingtung County
478a	23.42041389	120.24244444	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	478	486	Chiayi County
479a	23.621581	120.18392	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	479	485	Yunlin County
480a	23.62571	120.32153	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	480	484	Yunlin County
481a	23.641968	120.302647	肉鵝	2015-01-24	2015-01-27	H5N8	HPAI	業者主動通報	481	483	Yunlin County
482a	23.647277	120.301052	肉鵝	2015-01-24	2015-01-27	H5N2_H5N8	HPAI	業者主動通報	482	482	Yunlin County
483a	23.6482	120.28061	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	483	481	Yunlin County
484a	23.675399	120.288755	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	484	480	Yunlin County
485a	23.70701	120.27153	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	485	479	Yunlin County
486a	23.752	120.2315	肉鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	486	478	Yunlin County
487a	23.19878	120.1413	種鵝	2015-01-24	2015-01-27	H5N8	HPAI	業者主動通報	487	477	Tainan City
488a	23.693313	120.245038	種鵝	2015-01-24	2015-01-27	H5N2_H5N8	HPAI	業者主動通報	488	476	Yunlin County
489a	23.718041	120.231939	種鵝	2015-01-24	2015-01-27	H5N2	HPAI	業者主動通報	489	475	Yunlin County
490a	23.08411	120.33255	土番鴨	2015-01-24	2015-01-28	H5N2	HPAI	業者主動通報	490	474	Tainan City
491a	23.11225	120.322	肉鵝	2015-01-24	2015-01-28	H5N8	HPAI	業者主動通報	491	473	Tainan City
492a	23.711611	120.264553	正番鴨	2015-01-24	2015-02-01	H5N8	HPAI	業者主動通報	492	472	Yunlin County
450a	23.757299	120.238071	土番鴨	2015-01-23	2015-01-26	H5N8	HPAI	業者主動通報	450	471	Yunlin County
451a	22.81430556	120.57161111	土雞	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	451	470	Pingtung County
452a	22.81508333	120.56338889	土雞	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	452	469	Pingtung County
453a	23.684699	120.194368	土雞	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	453	468	Yunlin County
454a	23.40063889	120.3436	肉鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	454	467	Chiayi County
455a	23.574277	120.408778	肉鵝	2015-01-23	2015-01-26	H5N8	HPAI	業者主動通報	455	466	Chiayi County
456a	23.621719	120.183285	肉鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	456	465	Yunlin County
457a	23.69634	120.3391	肉鵝	2015-01-23	2015-01-26	H5N8	HPAI	業者主動通報	457	464	Yunlin County
458a	23.704638	120.291166	肉鵝	2015-01-23	2015-01-26	H5N8	HPAI	業者主動通報	458	463	Yunlin County
459a	23.70655	120.24079	肉鵝	2015-01-23	2015-01-26	H5N2_H5N8	HPAI	業者主動通報	459	462	Yunlin County
460a	23.715648	120.245881	肉鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	460	461	Yunlin County
461a	23.728287	120.234862	肉鵝	2015-01-23	2015-01-26	H5N2_H5N8	HPAI	業者主動通報	461	460	Yunlin County
462a	23.7344	120.2582	肉鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	462	459	Yunlin County
463a	23.841937	120.360608	肉鵝	2015-01-23	2015-01-26	H5N8	HPAI	業者主動通報	463	458	Changhua County
464a	23.843532	120.328833	肉鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	464	457	Changhua County
465a	24.89362	120.99256	肉鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	465	456	Hsinchu County
466a	24.89362	120.99256	肉鵝	2015-01-23	2015-01-26	H5N8	HPAI	業者主動通報	466	455	Hsinchu County
467a	23.37675	120.32003	種鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	467	454	Tainan City
468a	23.61552	120.24033	種鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	468	453	Yunlin County
469a	23.704411	120.260958	種鵝	2015-01-23	2015-01-26	H5N2_H5N8	HPAI	業者主動通報	469	452	Yunlin County
470a	23.746959	120.248786	種鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	470	451	Yunlin County
471a	22.683833	120.556333	肉鵝	2015-01-23	2015-01-26	H5N2	HPAI	業者主動通報	471	450	Pingtung County
416a	22.52764	120.44766	土雞	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	416	449	Pingtung County
417a	22.52863889	120.55444444	土雞	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	417	448	Pingtung County
418a	23.86224	120.29474	土雞	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	418	447	Changhua County
419a	22.89329722	120.28798056	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	419	446	Kaohsiung City
420a	23.08655	120.3263	肉鵝	2015-01-22	2015-01-25	H5N2_H5N8	HPAI	業者主動通報	420	445	Tainan City
421a	23.20181	120.2125	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	421	444	Tainan City
422a	23.20893	120.28394	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	422	443	Tainan City
423a	23.209	120.2431	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	423	442	Tainan City
424a	23.683875	120.263218	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	424	441	Yunlin County
425a	23.69334	120.26552	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	425	440	Yunlin County
426a	23.699941	120.269925	肉鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	426	439	Yunlin County
427a	23.721293	120.26073	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	427	438	Yunlin County
428a	23.95226	120.38189	肉鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	428	437	Changhua County
429a	23.99707	120.36433	肉鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	429	436	Changhua County
430a	23.86909	120.38981	蛋鴨	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	430	435	Changhua County
431a	22.58563889	120.47363889	肉鵝	2015-01-22	2015-01-25	H5N3	HPAI	業者主動通報	431	434	Pingtung County
432a	23.60202	120.2388	肉鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	432	433	Yunlin County
433a	23.65984	120.50613	肉鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	433	432	Yunlin County
434a	23.6607	120.17116	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	434	431	Yunlin County
435a	23.673756	120.194814	肉鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	435	430	Yunlin County
436a	23.72377	120.229755	肉鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	436	429	Yunlin County
437a	23.741042	120.232727	肉鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	437	428	Yunlin County
438a	23.752833	120.218847	烏骨雞	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	438	427	Yunlin County
439a	23.52904	120.37157	種鵝	2015-01-22	2015-01-25	H5N8	HPAI	業者主動通報	439	426	Chiayi County
440a	23.556604	120.202112	種鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	440	425	Yunlin County
441a	23.66434	120.19533	種鵝	2015-01-22	2015-01-25	H5N2_H5N8	HPAI	業者主動通報	441	424	Yunlin County
442a	23.67355	120.26367	種鵝	2015-01-22	2015-01-25	H5N2	HPAI	業者主動通報	442	423	Yunlin County
